root_id,supervoxel_id,position,type,is_fafb_ol_type,confidence
720575941354331952,78602575113264169,"[192165, 22391, 2811]",,False,
720575941354338864,79447686835303657,"[216861, 40977, 1227]",,False,
720575941354350896,79236718041429807,"[210750, 46019, 1119]",,False,
720575941354351152,78251761714157185,"[182167, 52881, 838]",,False,
720575941354351408,78673081363358901,"[194443, 24839, 3045]",,False,
720575941354352176,78954487083616720,"[201979, 24548, 962]",,False,
720575941354355504,78954350181309999,"[201656, 19257, 2922]",Tm3,True,
720575941354358576,78954968052342171,"[201204, 37967, 520]",,False,
720575941354366000,78954968723418452,"[202404, 37443, 3083]",,False,
720575941354367280,78532824777157930,"[188844, 40779, 2547]",,False,
720575941354386480,78743861954133362,"[195866, 37824, 1068]",,False,
720575941354391856,79728336909124445,"[223329, 17929, 233]",,False,
720575941354397232,78251074720873876,"[180953, 32602, 1657]",,False,
720575941354400560,78602712417514227,"[191907, 25981, 2149]",,False,
720575941354401328,78180637190100584,"[179310, 29933, 1430]",,False,
720575941354403376,78673424691874406,"[193532, 36689, 1861]",,False,
720575941354403888,79728474415362984,"[224618, 20548, 365]",,False,
720575941354404144,79588218030663295,"[219715, 35582, 587]",,False,
720575941354407472,78392293044036357,"[186262, 46490, 828]",,False,
720575941354408496,78532618685756851,"[189387, 34063, 2774]",T4c,True,
720575941354412848,78743793906128578,"[196385, 34852, 3779]",Tm2,True,
720575941354416688,78744067978493162,"[195218, 43561, 612]",,False,
720575941354418992,78532549966126744,"[189285, 32288, 2713]",T4c,True,
720575941384776000,79377387011572581,"[214652, 44336, 1869]",L5,True,
720575941391403926,78392293446784704,"[185202, 45950, 2377]",T5a,True,
720575941391889302,78321168922798319,"[182741, 22909, 2974]",,False,
720575941392074134,79165799272902909,"[207747, 29355, 250]",L1,True,
720575941392307204,78110886854334986,"[177263, 49024, 1229]",,False,
720575941392530436,78111024897161872,"[177274, 52800, 3477]",T5a,True,
720575941392554756,78603743075381404,"[191440, 55567, 1607]",T4a,True,
720575941392571908,78954418901116192,"[201674, 22305, 3053]",,False,
720575941392581380,79095155852375760,"[205391, 21706, 907]",,False,
720575941392633092,78743312735571555,"[195915, 21503, 3251]",,False,
720575941392633604,78814437326719154,"[197094, 43414, 2930]",,False,
720575941392663300,78251006269932197,"[180666, 30412, 2714]",,False,
720575941392669956,78462043783076079,"[187740, 27284, 2743]",,False,
720575941392702212,79377180987329968,"[213133, 37200, 2362]",Tm4,True,
720575941392706564,78673974313557002,"[194492, 51792, 1378]",T5b,True,
720575941392706820,78884805735681285,"[199635, 43642, 1782]",LPi09,True,
720575941392847364,79447274853800225,"[216541, 30163, 2441]",Mi1,True,
720575941392961284,79165731224836618,"[207337, 27728, 2730]",Tm1,True,
720575941392970244,79025062455759653,"[203278, 29853, 2662]",Tm5f,True,
720575941392975620,78251486970988381,"[181043, 44754, 1531]",Pm01,True,
720575941392982788,79236374846678304,"[210732, 35447, 2639]",,False,
720575941392989444,79447480810624409,"[216382, 36569, 1568]",Tm4,True,
720575941392999684,78603467996265701,"[192071, 47537, 894]",Tm1,True,
720575941393011716,79376974426686194,"[213843, 31156, 991]",,False,
720575941393022724,78532068929821665,"[190299, 17175, 2719]",L5,True,
720575941393034244,78814299753565780,"[197995, 39483, 2440]",T3,True,
720575941393045508,78532206502734794,"[189669, 21201, 3147]",Mi9,True,
720575941393046276,78181256269456452,"[180100, 47155, 3734]",Y11,True,
720575941393051396,78181187617209143,"[178497, 46204, 4030]",,False,
720575941393062404,78532618618190131,"[189254, 33782, 2353]",T4b,True,
720575941393081604,78251212831059158,"[181032, 36646, 4276]",T5b,True,
720575941393084932,79025680796656714,"[202934, 48594, 2097]",,False,
720575941393089540,79025680863544870,"[204070, 48511, 2305]",T3,True,
720575941393112836,77829824395326927,"[169043, 59678, 1819]",,False,
720575941393117956,78532274752785982,"[189625, 24386, 1475]",T1,True,
720575941393123478,78321786860885726,"[182387, 42882, 977]",,False,
720575941393134340,78251486970374110,"[180431, 43477, 1312]",,False,
720575941393153540,78602780935909314,"[191948, 27470, 1464]",,False,
720575941393170436,78462043648442846,"[187882, 28052, 2080]",Tm3,True,
720575941393185284,78462593337559245,"[187975, 44959, 1990]",T5c,True,
720575941393232132,78321650227807788,"[182509, 38224, 4086]",T5b,True,
720575941393235972,78392499269497843,"[185429, 51213, 1049]",,False,
720575941393240324,78321855714859956,"[184128, 44709, 1421]",,False,
720575941393260548,78672875070414300,"[194409, 20178, 2422]",,False,
720575941393268996,78673768155106820,"[194506, 46864, 1375]",T4d,True,
720575941393274262,78813886966829835,"[197377, 28653, 603]",,False,
720575941393284868,78602712350289616,"[192353, 26243, 1854]",,False,
720575941393295108,78603330489938639,"[192198, 44124, 541]",,False,
720575941393299716,78673356240780764,"[192617, 34478, 2880]",T4a,True,
720575941393300228,78673768491080405,"[192957, 46019, 2808]",T5b,True,
720575941393300740,78884668497836792,"[199218, 40263, 2466]",T4c,True,
720575941393301508,78673424960321636,"[192789, 34834, 2892]",T4a,True,
720575941393312662,78885011826398316,"[198765, 50795, 1303]",,False,
720575941393314052,79025474705594569,"[203130, 42559, 2438]",Tm5f,True,
720575941393314820,78462524685355076,"[188007, 42886, 2293]",T5c,True,
720575941393315588,78462524819015430,"[186591, 42048, 2607]",T5c,True,
720575941393322756,79095156121008726,"[205224, 22425, 2006]",,False,
720575941393325828,78251555757057533,"[180641, 46092, 1611]",,False,
720575941393329412,78673836874471077,"[193155, 47399, 1340]",T3,True,
720575941393334788,79165730754721291,"[206855, 27029, 822]",Mi1,True,
720575941393344004,78673218332532660,"[194111, 30545, 1240]",,False,
720575941393407638,78884118540378398,"[199226, 24432, 1584]",,False,
720575941393467542,77970424445561509,"[172665, 57243, 2047]",,False,
720575941393471382,78321169124243633,"[183135, 22575, 3785]",Mi9,True,
720575941393472772,78814849106774436,"[198192, 56272, 891]",,False,
720575941393480708,78392293178724975,"[185690, 45651, 1494]",T2a,True,
720575941393493508,79165456011019633,"[208496, 18864, 1330]",,False,
720575941393503492,78392430684376518,"[185293, 49460, 1606]",,False,
720575941393508612,78884599979667665,"[200567, 36940, 3235]",,False,
720575941393614340,78461975399159182,"[186805, 24707, 4031]",L5,True,
720575941393629700,79166349364433908,"[207555, 46601, 1400]",,False,
720575941393630980,79236374443991417,"[210236, 34819, 1096]",,False,
720575941393632260,78251418251619515,"[180338, 42384, 1531]",Tm2,True,
720575941393697796,79096049071574693,"[205818, 48801, 499]",,False,
720575941393704964,79306331475421487,"[211070, 23738, 3465]",,False,
720575941393712900,79658724280650040,"[221888, 38992, 931]",,False,
720575941393726212,78743656668219259,"[196447, 31047, 4438]",,False,
720575941393728260,79236031047804242,"[210069, 24754, 1818]",,False,
720575941393734916,79517849622367043,"[217652, 35574, 1991]",Dm10,True,
720575941393740438,78603193051181159,"[191195, 40345, 677]",L5,True,
720575941393747606,78884325302772761,"[200440, 29831, 3881]",Tm9,True,
720575941393749764,79447686835094519,"[216139, 41679, 1153]",,False,
720575941393752068,78321100337769751,"[184119, 22378, 3566]",,False,
720575941393755396,79025200096293672,"[203854, 33301, 3530]",Mi9,True,
720575941393762052,78111024897367962,"[178038, 51511, 3559]",T5c,True,
720575941393762454,78884668497522976,"[199161, 40083, 2352]",T2a,True,
720575941393767428,78673562265182279,"[194263, 40938, 2427]",T4b,True,
720575941393769476,78954349644173708,"[200862, 20420, 983]",Tm2,True,
720575941393779972,78461906209782459,"[186818, 23212, 2185]",,False,
720575941393801732,77758905828508529,"[166897, 45011, 1663]",,False,
