root_id,supervoxel_id,position,type
720575941353912368,73747131966325873,"[50183, 21128, 3582]",T1
720575941353990960,73254756646747923,"[35820, 27087, 2469]",Mi1
720575941354017328,73677380891865331,"[48558, 40657, 444]",Dm20
720575941354060592,74240262528102549,"[64672, 38869, 1840]",T2
720575941354063408,73536849628831487,"[43029, 45102, 611]",Mi4
720575941354063664,73958855935492138,"[56442, 38923, 613]",Tm1
720575941354066224,73114362352959306,"[32723, 38510, 868]",Mi9
720575941354118960,73536506300120842,"[44191, 35648, 1726]",Sm07
720575941354139440,73676831471524279,"[48158, 23256, 1684]",MLt3
720575941354142256,74029225015085056,"[58620, 39274, 1855]",C3
720575941354149424,73184593792533557,"[34560, 34000, 1432]",Dm15
720575941354161968,74310699925010061,"[65773, 39876, 1720]",C2
720575941354162480,73817981746474658,"[51253, 36186, 3476]",T2
720575941354162992,73606806794686061,"[46496, 34067, 3563]",TmY16
720575941354165808,72973693584040998,"[26842, 39352, 846]",TmY5a
720575941354167600,73606462861698971,"[46658, 24163, 2254]",Sm32
720575941354168368,73607424732781341,"[46386, 51392, 1390]",Tm27
720575941354168880,73677587452526796,"[47398, 46569, 1823]",T2a
720575941354178608,74240400638309582,"[64263, 42081, 4462]",T5c
720575941354179376,74240056839479344,"[64265, 32257, 3657]",T4c
720575941354199088,73254894219937354,"[35411, 31077, 2981]",Tm4
720575941354199600,73114500395817003,"[31341, 42568, 3136]",Tm20
720575941354203184,73395425213988220,"[40023, 25979, 1567]",L2
720575941354219312,73255443438794907,"[35602, 48386, 906]",TmY11
720575941354231344,73325606359978605,"[36924, 42687, 2143]",Sm15
720575941354232624,73113950103033178,"[32353, 26513, 1191]",C3
720575941354235952,73817569429289446,"[52223, 22869, 3353]",Dm3p
720575941354236720,73396043890838303,"[39130, 43218, 2438]",Pm03
720575941354240816,73818599684562751,"[51682, 53802, 1309]",Y12
720575941354242608,73677450147581921,"[47636, 41952, 2306]",TmY14
720575941391016964,73395768879128620,"[39805, 36476, 2047]",Sm05
720575941391018244,73959268588052852,"[56443, 51931, 1958]",Y11
720575941391024900,74241018375321888,"[64317, 60761, 1720]",T5c
720575941391039236,74169756882123865,"[61879, 34764, 3999]",Tm4
720575941391078404,73747269404910630,"[49934, 26603, 3469]",Tm2
720575941391110660,73817913161130364,"[53074, 33638, 3950]",TmY11
720575941391126276,74099594363266210,"[60448, 38969, 4176]",T5a
720575941391130628,74311043387957902,"[66720, 49152, 1127]",Pm01
720575941391137028,73958719033215159,"[57270, 36281, 2602]",TmY14
720575941391151620,73607150056109008,"[46311, 44517, 2124]",Pm01
720575941391154436,73747750239517655,"[49970, 40517, 2564]",T4b
720575941391172612,74029637533625581,"[57762, 51577, 2746]",Y3
720575941391178756,73748093502071233,"[50535, 49323, 1531]",T4d
720575941391183108,74733393694851963,"[78847, 54537, 2742]",Li17
720575941391210756,74169756613659932,"[63098, 33087, 2966]",T4c
720575941391212548,74028881351049810,"[58608, 29076, 1772]",Dm3p
720575941391213316,73958375301647387,"[56792, 26307, 2094]",Tm3
720575941391230212,73887800533725828,"[53954, 20061, 2786]",MLt1
720575941391233284,73958719100819176,"[56213, 34864, 3044]",T4c
720575941391237380,74029431643396943,"[57882, 45159, 3697]",Tm1
720575941391244548,73818050465963263,"[51586, 37279, 3490]",T4b
720575941391255556,74029500430350466,"[57544, 47755, 4085]",T5d
720575941391275780,74029225015031560,"[57667, 40638, 1827]",T4b
