root_id,supervoxel_id,position,type,is_fafb_ol_type,confidence
720575941605128889,77758768926069235,"[165943, 40085, 3594]",LT86,True,
720575941605150398,77759043602814765,"[167504, 47235, 2875]",LC13,True,
720575941605156025,77618443553289560,"[161951, 51444, 2823]",cLP02,True,
720575941605167033,77899437561143185,"[170222, 38808, 3225]",LC27,True,
720575941605213881,79517643195055198,"[218833, 28746, 807]",,False,
720575941605262782,78321650294813432,"[183351, 36964, 4317]",,False,
720575941605314294,78954556742360487,"[200750, 26417, 4459]",,False,
720575941605343734,77969806305389243,"[173376, 38584, 3243]",LC10c,True,
720575941605369078,79658174793791226,"[221415, 22817, 1983]",,False,
720575941605441782,78180705909855229,"[180201, 31083, 1510]",,False,
720575941605442806,79165594054268746,"[208888, 22784, 3748]",,False,
720575941605626558,78814299619021816,"[197213, 40669, 1808]",,False,
720575941605683902,79236718376799586,"[210401, 45423, 2339]",,False,
720575941606143934,79165799272653301,"[207172, 30095, 187]",,False,
720575941606249918,77618100157591333,"[162983, 41987, 3739]",,False,
720575941606287294,78602781136783779,"[192363, 27711, 2065]",aMe5,True,
720575941606367853,77195475375904610,"[150625, 30143, 3807]",,False,
720575941606399422,78814024674250714,"[198302, 31013, 1638]",,False,
720575941606979693,77688468700473223,"[165760, 41934, 2968]",,False,
720575941607003245,78040724268362050,"[174224, 53309, 1139]",,False,
720575941607509101,79728474482958009,"[224906, 21804, 709]",,False,
720575941607610989,78533442983183031,"[190324, 57563, 1289]",,False,
720575941607805293,77547731748864182,"[159916, 42435, 4969]",LTe67,True,
720575941608568941,78743587277772739,"[195867, 29101, 1910]",MTe52,True,
720575941608659053,78039968891068808,"[175368, 31444, 3221]",LC10b,True,low
720575941608699757,77829412078699884,"[169794, 47696, 1902]",LC12,True,
720575941608859757,77899437695413639,"[170086, 37627, 3762]",,False,
720575941608907117,78321237574897124,"[183262, 26099, 2614]",,False,
720575941608907373,78603537051538025,"[191510, 50305, 2253]",LLPC2,True,
720575941609097581,78040312488371421,"[175308, 42148, 3188]",LC26,True,
720575941609118573,77758974950798292,"[167321, 45105, 3264]",,False,
720575941609145453,79165594054239592,"[208699, 22781, 3740]",,False,
720575941609171053,78391812008020501,"[184602, 32387, 992]",,False,
720575941609182317,77618237328156373,"[163125, 46847, 2731]",MTe51,True,
720575941609210733,79306400261921753,"[211051, 26517, 3665]",,False,
720575941609248877,78813887503697378,"[198651, 26864, 2645]",,False,
720575941609261421,79376562579226066,"[213764, 19659, 2632]",,False,
720575941609669706,77969875024667262,"[172795, 40732, 3168]",LC17,True,
720575941610433610,77829274908237888,"[168243, 43690, 2949]",LC46,True,
720575941610670182,78040037543566093,"[174473, 34247, 3010]",Li01,True,
720575941610875466,77899437561003648,"[171877, 37992, 3174]",,False,
720575941610937065,77688743578042673,"[164715, 49468, 2856]",,False,
720575941610962762,77618237193516292,"[162167, 46090, 2056]",LC13,True,
720575941611198282,77407268400421975,"[156416, 49184, 2239]",MTe20,True,
720575941611228646,77969668933184047,"[172523, 34546, 3382]",,False,
720575941611268828,77899712237764041,"[171517, 46870, 2459]",LC15,True,
720575941611313129,77829068950717454,"[168969, 37805, 3589]",LC6,True,
720575941611314409,77970012262109772,"[173240, 43307, 2339]",,False,
720575941611371484,77829068951284000,"[169018, 37005, 3789]",LC9,True,
720575941611466473,78673974448003383,"[192902, 52163, 1971]",LLPC3,True,
720575941611532205,78392293044507455,"[184607, 46002, 993]",MTe02,True,
720575941611540042,78532481045073358,"[189334, 29161, 1855]",MTe50,True,
720575941611671270,77758906030146570,"[167682, 43115, 2547]",,False,
720575941611683561,78392019038737516,"[186294, 37625, 4220]",,False,
720575941611720681,77829481201111007,"[168090, 50820, 3544]",LC12,True,
720575941611864678,77758975084678980,"[166799, 45903, 3656]",LC9,True,
720575941611875245,77969806439547469,"[173337, 37749, 3740]",,False,
720575941611876838,78180706714482917,"[179526, 32457, 4352]",,False,
720575941611999462,77829412347034398,"[168038, 47436, 2892]",,False,
720575941612107181,78392224995696993,"[186204, 43955, 3398]",LPC1,True,
720575941612189542,78110337567764098,"[176148, 31542, 2824]",LC22,True,
720575941612190794,77970356128224827,"[173960, 54858, 3466]",,False,
720575941612239206,78110749817784307,"[176640, 43878, 2673]",LC11,True,
720575941612259558,77899437695321515,"[170183, 38594, 3728]",,False,
720575941612285926,78533374264152827,"[189222, 56668, 1378]",LLPC3,True,
720575941612295498,77195612814839324,"[150642, 33611, 3811]",LTe01,True,
720575941612343785,78180912470706818,"[179218, 38255, 2948]",LC21,True,
720575941612365386,78251006135588931,"[180277, 28757, 2158]",MTe51,True,
720575941612457449,77970012530527415,"[173189, 44001, 3352]",LC12,True,
720575941612459110,77829137737640852,"[169537, 39679, 3947]",LC10b,True,
720575941612461289,79025612077304414,"[203343, 46256, 2142]",,False,
720575941612462922,78321237641946952,"[183882, 24907, 2853]",,False,
720575941612473674,79658243244897071,"[221612, 25907, 949]",,False,
720575941612525130,77899643786762317,"[171257, 44493, 3513]",LC22,True,
720575941612527081,78039899970138187,"[175505, 30461, 2402]",aMe5,True,
720575941612542794,78673905661100634,"[194426, 50361, 1597]",LLPC1,True,
720575941612552010,77829068481581667,"[168943, 38303, 1987]",,False,
720575941612553034,78110268714354791,"[176657, 28935, 2422]",,False,
720575941612569261,77266462595195974,"[152801, 48919, 3756]",Nod2,True,
720575941612586342,78673699167102319,"[193830, 43224, 333]",,False,
720575941612609098,78954693174855345,"[202176, 29299, 675]",,False,
720575941612611914,78181462360442241,"[179217, 54560, 3343]",,False,
720575941612627786,78040381140964619,"[174319, 43552, 3013]",LC6,True,
720575941612640074,76984300423248982,"[144006, 28570, 3592]",LT42,True,
720575941612641866,77758837645903872,"[166404, 41861, 3712]",LT84,True,
720575941612645706,78039900037509782,"[175170, 29726, 2748]",cM08b,True,
720575941612646730,77618305846442352,"[162827, 47194, 2003]",LC16,True,
720575941612677097,77829068951122888,"[168423, 37923, 3722]",LC10c,True,
720575941612682729,77969875158933820,"[172566, 39478, 3710]",LT37,True,
720575941612698089,78180912605244599,"[179627, 36973, 3570]",LC9,True,
720575941612713705,78884599979889992,"[200621, 37324, 3310]",,False,
720575941612798953,77758905962512210,"[166123, 44041, 2096]",LC6,True,
720575941612821267,77829618572939884,"[169003, 53874, 3271]",LC12,True,
720575941612839913,78884325034854572,"[199525, 30709, 3044]",,False,
720575941612847590,77477294352596214,"[158426, 39772, 5340]",MTe12,True,
720575941612876518,77336899857585894,"[153742, 50310, 2997]",LPC1,True,
720575941612883942,77970287073612092,"[172379, 51992, 2296]",,False,
720575941612886886,78110543860766423,"[177037, 38795, 3468]",LC12,True,
720575941612891100,77970081384337785,"[172982, 46297, 3912]",LC18,True,
720575941612912361,77618443419580604,"[161829, 51203, 2503]",,False,
720575941612917990,78673218936401062,"[193970, 29013, 3514]",,False,
720575941612989660,78110887256968117,"[176516, 49129, 2739]",,False,
720575941613009126,77759112456361128,"[167797, 50262, 3339]",,False,
720575941613019309,78673630984662258,"[193311, 41676, 2418]",LLPC1,True,
720575941613049446,77969806506580304,"[172197, 38355, 3971]",LC9,True,
720575941613069485,77899162548844276,"[172000, 28832, 2622]",LC12,True,
720575941613078701,77899849609275775,"[170662, 50628, 2085]",LC12,True,
720575941613082982,77829343627769444,"[168555, 46600, 2966]",,False,
720575941613110492,78180843751472003,"[179376, 36817, 3040]",LC12,True,
720575941613117081,77196025064488760,"[151010, 46674, 3508]",cLP03,True,
720575941613136870,77759112456704104,"[167090, 49319, 3460]",LC17,True,
720575941613180333,78392361696905725,"[185410, 48585, 746]",,False,
720575941613188966,78392362501953666,"[184806, 47833, 3739]",,False,
720575941613255597,77688468767330003,"[165522, 41939, 3131]",LC17,True,
720575941613258854,77618237127172350,"[163311, 46507, 2044]",LC21,True,
720575941613347558,77618374900947918,"[161996, 49553, 3097]",LT70,True,
720575941613362605,78884256248068377,"[198708, 26857, 2714]",,False,
720575941613370086,78110818403324654,"[177750, 46408, 2262]",LC21,True,
720575941613370598,77829481066692813,"[169092, 50661, 2951]",LPLC1,True,
720575941613395814,78181462159569913,"[178892, 53290, 2741]",,False,
720575941613501916,77758974749637786,"[166834, 45212, 2549]",LC26,True,
720575941613503846,78884187931023725,"[198884, 25007, 4175]",,False,
720575941613504685,77758768657838133,"[167622, 40274, 2647]",cM08b,True,
720575941613515622,78954487821399372,"[201792, 23066, 3623]",,False,
720575941613520301,77688537486630074,"[164659, 44372, 3078]",LPLC4,True,
720575941613521069,78251280744929913,"[180604, 38736, 1093]",,False,
720575941613524582,79376837591475629,"[213330, 27670, 3206]",,False,
720575941613579878,77758288225169051,"[166520, 25896, 4867]",,False,
720575941613595053,77899781091454718,"[171911, 48362, 2975]",,False,
720575941613608806,77618169145038455,"[162850, 44114, 4611]",,False,
720575941613626726,77899506146667653,"[171635, 40079, 2810]",LC20a,True,
720575941613645414,77829206389948828,"[168286, 42703, 3672]",,False,
720575941613803228,78673905661095311,"[192525, 50814, 1591]",LPC1,True,
720575941614054163,78955174479263860,"[201875, 43389, 1561]",,False,
720575941614081555,78180499952461044,"[179673, 26146, 2149]",,False,
720575941614138387,77900055499294026,"[171761, 56574, 1107]",,False,
720575941614313692,78181393574284345,"[178323, 51326, 3248]",,False,
720575941614372115,77688812163624935,"[164300, 51358, 2442]",LC31a,True,
720575941614477532,77618374834227180,"[162530, 50250, 2980]",cLP02,True,
720575941614634905,78181668049559441,"[179259, 59716, 1723]",LLPC1,True,
720575941614686739,78180843281601802,"[179172, 35686, 1220]",,False,
720575941614706195,78320962764058566,"[183807, 17889, 2827]",,False,
720575941614730393,78744343192186883,"[196218, 51332, 1980]",LLPC2,True,
720575941614860252,78180705976523550,"[180076, 31675, 1589]",,False,
720575941614862300,77758837646040873,"[167832, 41599, 3770]",LCe04,True,
720575941615045852,77618443419540742,"[162085, 52037, 2489]",LLPt,True,
720575941615087324,77969669000426591,"[172777, 33799, 3699]",,False,
720575941615101081,77547799931631601,"[160025, 43873, 2980]",LPLC4,True,
720575941615120348,79376425140070980,"[214157, 15899, 2613]",,False,
720575941615127827,78181049842252634,"[178444, 41064, 2582]",LT82,True,
720575941615345427,78181530811928444,"[180187, 56505, 2484]",LLPC1,True,
720575941615386521,77758768792491003,"[167724, 40713, 3299]",LTe58,True,
720575941615390105,77547113005323160,"[161619, 22889, 4019]",,False,
720575941615425945,77758768859591391,"[166662, 40941, 3558]",,False,
720575941615479449,77477568626550121,"[159236, 48662, 3032]",LC37,True,
720575941615536537,77618237731025405,"[163226, 45356, 4332]",,False,
720575941615554067,79376837591595411,"[213219, 26652, 3244]",,False,
720575941615706899,77969737384271639,"[173793, 35389, 2365]",LC6,True,
720575941615955097,78743930807952501,"[195389, 40697, 1627]",,False,
720575941616214169,78039969092117551,"[175272, 31756, 3889]",,False,
720575941616384665,78251899622745588,"[181058, 55649, 2577]",LPT23,True,
720575941616417945,78673699099767380,"[193749, 44876, 230]",,False,
720575941616436889,78110612445683525,"[177281, 39004, 2831]",LC17,True,
720575941616542873,77899643518186359,"[170797, 43840, 2425]",LC17,True,
720575941616552661,79165730889275050,"[208375, 28326, 1450]",L1,True,
720575941616553113,78251075190619308,"[180522, 30976, 3448]",,False,
720575941616572057,78461975063255131,"[187692, 25079, 2611]",MTe10,True,
720575941616573081,77758837511904484,"[166814, 40990, 3282]",LC46,True,
720575941616762521,78180637592500355,"[179561, 29824, 2835]",,False,
720575941616784793,78391674702891433,"[185122, 28299, 1290]",,False,
720575941616817049,77688743444014504,"[164254, 50865, 2406]",,False,
720575941616823712,78251005934125573,"[181001, 30674, 1340]",,False,
720575941616824729,79307017864866108,"[211840, 44354, 458]",T1,True,
